BD,BGD,880,4,11
CA,CAN,1,10,10
KZ,KAZ,7310,8,10
MO,MAC,853,6,8
ME,MNE,382,7,12
MM,MMR,95,6,9
NR,NRU,674,7,7
PA,PAN,507,7,8
MF,MAF,590,9,9
BH,BHR,973,8,8
RU,RUS,7,10,10
AI,AIA,1264,10,10
DJ,DJI,253,8,8
JM,JAM,1876,10,10
JP,JPN,81,5,13
MZ,MOZ,258,6,9
SG,SGP,65,7,12
ZA,ZAF,27,5,12
SY,SYR,963,8,10
US,USA,1,10,10
AE,ARE,971,8,12
AL,ALB,355,8,9
CA,CAN,1905,10,10
LS,LSO,266,8,8
NG,NGA,234,6,10
TO,TON,676,5,7
TM,TKM,993,7,9
VU,VUT,678,5,7
AU,AUS,61,9,15
CZ,CZE,420,5,13
KZ,KAZ,7315,8,10
LU,LUX,352,6,11
OM,OMN,968,6,8
SA,SAU,966,8,9
AS,ASM,1684,7,10
CO,COL,57,6,12
GT,GTM,502,7,8
PR,PRI,1787,10,10
VC,VCT,1784,10,10
SL,SLE,232,8,8
SB,SLB,677,5,7
CA,CAN,1431,10,10
TG,TGO,228,7,7
UG,UGA,256,6,10
CA,CAN,1819,10,10
GD,GRD,1473,10,10
HK,HKG,852,8,9
LR,LBR,231,6,8
MA,MAR,212,8,9
MP,MNP,1670,10,10
SC,SYC,248,6,6
SK,SVK,421,9,9
YE,YEM,967,6,9
BZ,BLZ,501,7,7
CY,CYP,357,5,11
SV,SLV,503,8,11
VE,VEN,58,10,10
DZ,DZA,213,8,9
AM,ARM,374,8,8
GH,GHA,233,5,9
SM,SMR,378,6,12
SO,SOM,252,7,9
AT,AUT,43,4,13
VG,VGB,1284,10,10
BN,BRN,673,7,7
CA,CAN,1249,10,10
CA,CAN,1418,10,10
CL,CHL,56,8,10
TL,TLS,670,7,7
ER,ERI,291,7,7
MD,MDA,373,8,8
MC,MCO,377,8,9
TW,TWN,886,7,9
BA,BIH,387,7,8
CA,CAN,1579,10,10
CA,CAN,1581,10,10
CA,CAN,1902,10,10
CU,CUB,53,5,11
GN,GIN,224,6,8
GY,GUY,592,6,7
LB,LBN,961,7,8
PR,PRI,1939,10,10
TT,TTO,1868,10,10
VI,VIR,1340,10,10
BE,BEL,32,7,9
CA,CAN,1514,10,10
CA,CAN,1647,10,10
KM,COM,269,6,7
MS,MSR,1664,10,10
PG,PNG,675,7,11
SE,SWE,46,6,13
CM,CMR,237,8,8
CA,CAN,1604,10,10
CA,CAN,1709,10,10
EE,EST,372,7,10
GU,GUM,1671,10,10
CI,CIV,225,8,8
KZ,KAZ,7336,8,10
NZ,NZL,64,7,10
VN,VNM,84,8,11
CA,CAN,1437,10,10
FR,FRA,33,9,9
IL,ISR,972,7,9
LA,LAO,856,8,9
AR,ARG,54,7,12
TD,TCD,235,6,7
GM,GMB,220,7,7
KZ,KAZ,7321,8,10
KZ,KAZ,7702,8,10
IQ,IRQ,964,10,10
KZ,KAZ,7328,8,10
KG,KGZ,996,8,10
PF,PYF,689,6,6
KZ,KAZ,7330,8,10
KW,KWT,965,6,8
LY,LBY,218,7,10
FM,FSM,691,7,7
NP,NPL,977,7,9
PT,PRT,351,9,11
GB,GBR,44,7,10
ZM,ZMB,260,6,9
AQ,ATA,672,6,6
CA,CAN,1416,10,10
CA,CAN,1438,10,10
CA,CAN,1780,10,10
GI,GIB,350,8,8
GR,GRC,30,10,10
NL,NLD,31,8,10
TJ,TJK,992,7,12
TK,TKL,690,4,4
UY,URY,598,5,11
AD,AND,376,6,9
CA,CAN,1250,10,10
FO,FRO,298,6,6
GE,GEO,995,9,9
GW,GNB,245,7,7
IT,ITA,39,8,12
BR,BRA,55,10,11
DO,DOM,1809,10,10
KZ,KAZ,7700,8,10
LT,LTU,370,8,8
MR,MRT,222,7,9
BG,BGR,359,4,12
CK,COK,682,5,5
FI,FIN,358,5,12
KN,KNA,1869,10,10
TN,TUN,216,8,8
BY,BLR,375,7,11
CA,CAN,1506,10,10
CA,CAN,1587,10,10
CV,CPV,238,7,7
DO,DOM,1829,10,10
IS,ISL,354,7,9
LK,LKA,94,5,9
WF,WLF,681,6,6
CA,CAN,1226,10,10
CA,CAN,1365,10,10
SI,SVN,386,8,8
TH,THA,66,7,10
AG,ATG,1268,10,10
CD,COD,243,7,9
YT,MYT,262,10,10
PL,POL,48,9,9
RS,SRB,381,5,12
KR,KOR,82,7,11
ZW,ZWE,263,4,10
BS,BHS,1242,10,10
BB,BRB,1246,10,10
CA,CAN,1782,10,10
CA,CAN,1873,10,10
HR,HRV,385,8,12
IE,IRL,353,7,11
KZ,KAZ,7317,8,10
KZ,KAZ,7707,8,10
MN,MNG,976,5,10
CG,COG,242,7,8
IO,IOT,246,7,7
BI,BDI,257,6,8
CA,CAN,1705,10,10
CN,CHN,86,6,12
LI,LIE,423,7,12
NU,NIU,683,4,4
QA,QAT,974,7,10
WS,WSM,685,5,7
TR,TUR,90,10,10
TC,TCA,1649,10,10
BT,BTN,975,7,8
CA,CAN,1343,10,10
DK,DNK,45,8,8
GQ,GNQ,240,6,7
KZ,KAZ,7701,8,10
NE,NER,227,6,8
PY,PRY,595,5,11
ES,ESP,34,9,9
VA,VAT,379,8,8
BF,BFA,226,8,8
DO,DOM,1849,10,10
HU,HUN,36,8,9
KE,KEN,254,6,10
TZ,TZA,255,9,9
AW,ABW,297,6,7
BW,BWA,267,6,8
CF,CAF,236,6,8
CR,CRI,506,8,8
KZ,KAZ,7311,8,10
KZ,KAZ,7329,8,10
PK,PAK,92,6,12
PH,PHL,63,6,11
SH,SHN,290,4,4
CA,CAN,1403,10,10
CA,CAN,1450,10,10
DM,DMA,1767,10,10
KZ,KAZ,7312,8,10
KZ,KAZ,7318,8,10
KZ,KAZ,7324,8,10
KZ,KAZ,7326,8,10
KZ,KAZ,7777,8,10
MY,MYS,60,7,10
AN,ANT,599,7,8
RW,RWA,250,9,9
CH,CHE,41,9,12
CA,CAN,1236,10,10
CA,CAN,1289,10,10
HT,HTI,509,7,8
MT,MLT,356,8,8
AZ,AZE,994,9,9
CA,CAN,1778,10,10
CA,CAN,1807,10,10
ET,ETH,251,9,9
FJ,FJI,679,7,7
KZ,KAZ,7313,8,10
KZ,KAZ,7705,8,10
MV,MDV,960,7,7
KP,PRK,850,4,16
UA,UKR,380,9,9
BM,BMU,1441,10,10
IN,IND,91,6,15
ID,IDN,62,6,15
IR,IRN,98,10,10
MW,MWI,265,7,9
SN,SEN,221,7,9
EG,EGY,20,7,10
CA,CAN,1613,10,10
FK,FLK,500,5,5
HN,HND,504,7,8
KZ,KAZ,7314,8,10
KZ,KAZ,7323,8,10
LV,LVA,371,8,8
ML,MLI,223,8,8
NC,NCL,687,6,6
NI,NIC,505,8,8
NO,NOR,47,4,12
TV,TUV,688,5,6
AF,AFG,93,10,10
AO,AGO,244,6,9
CA,CAN,1519,10,10
KZ,KAZ,7325,8,10
MX,MEX,52,6,10
PW,PLW,680,7,7
PE,PER,51,7,11
UZ,UZB,998,9,9
KH,KHM,855,8,8
CA,CAN,1204,10,10
CA,CAN,1306,10,10
KY,CYM,1345,10,10
KZ,KAZ,7327,8,10
LC,LCA,1758,10,10
PM,SPM,508,6,6
SD,SDN,249,7,9
MU,MUS,230,7,8
CA,CAN,1600,10,10
CA,CAN,1867,10,10
JO,JOR,962,8,9
KI,KIR,686,5,5
NA,NAM,264,4,10
RO,ROU,40,9,9
SX,SXM,1721,10,10
BJ,BEN,229,8,8
EC,ECU,593,9,9
GA,GAB,241,6,7
GL,GRL,299,6,6
KZ,KAZ,7322,8,10
MG,MDG,261,7,10
ST,STP,239,7,7
SR,SUR,597,6,7
BO,BOL,591,8,8
DE,DEU,49,3,13
MK,MKD,389,8,8
MH,MHL,692,7,7
SZ,SWZ,268,7,8
